Characteristics ,Code,Text
eco_2018,GEO_ID,id
eco_2018,NAME,Geographic Area Name
eco_2018,DP03_0001E,Estimate!!EMPLOYMENT STATUS!!Population 16 years and over
eco_2018,DP03_0001M,Margin of Error!!EMPLOYMENT STATUS!!Population 16 years and over
eco_2018,DP03_0001PE,Percent Estimate!!EMPLOYMENT STATUS!!Population 16 years and over
eco_2018,DP03_0001PM,Percent Margin of Error!!EMPLOYMENT STATUS!!Population 16 years and over
eco_2018,DP03_0002E,Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force
eco_2018,DP03_0002M,Margin of Error!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force
eco_2018,DP03_0002PE,Percent Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force
eco_2018,DP03_0002PM,Percent Margin of Error!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force
eco_2018,DP03_0003E,Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force
eco_2018,DP03_0003M,Margin of Error!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force
eco_2018,DP03_0003PE,Percent Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force
eco_2018,DP03_0003PM,Percent Margin of Error!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force
eco_2018,DP03_0004E,Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Employed
eco_2018,DP03_0004M,Margin of Error!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Employed
eco_2018,DP03_0004PE,Percent Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Employed
eco_2018,DP03_0004PM,Percent Margin of Error!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Employed
eco_2018,DP03_0005E,Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed
eco_2018,DP03_0005M,Margin of Error!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed
eco_2018,DP03_0005PE,Percent Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed
eco_2018,DP03_0005PM,Percent Margin of Error!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed
eco_2018,DP03_0006E,Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Armed Forces
eco_2018,DP03_0006M,Margin of Error!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Armed Forces
eco_2018,DP03_0006PE,Percent Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Armed Forces
eco_2018,DP03_0006PM,Percent Margin of Error!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Armed Forces
eco_2018,DP03_0007E,Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!Not in labor force
eco_2018,DP03_0007M,Margin of Error!!EMPLOYMENT STATUS!!Population 16 years and over!!Not in labor force
eco_2018,DP03_0007PE,Percent Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!Not in labor force
eco_2018,DP03_0007PM,Percent Margin of Error!!EMPLOYMENT STATUS!!Population 16 years and over!!Not in labor force
eco_2018,DP03_0008E,Estimate!!EMPLOYMENT STATUS!!Civilian labor force
eco_2018,DP03_0008M,Margin of Error!!EMPLOYMENT STATUS!!Civilian labor force
eco_2018,DP03_0008PE,Percent Estimate!!EMPLOYMENT STATUS!!Civilian labor force
eco_2018,DP03_0008PM,Percent Margin of Error!!EMPLOYMENT STATUS!!Civilian labor force
eco_2018,DP03_0009E,Estimate!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate
eco_2018,DP03_0009M,Margin of Error!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate
eco_2018,DP03_0009PE,Percent Estimate!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate
eco_2018,DP03_0009PM,Percent Margin of Error!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate
eco_2018,DP03_0010E,Estimate!!EMPLOYMENT STATUS!!Females 16 years and over
eco_2018,DP03_0010M,Margin of Error!!EMPLOYMENT STATUS!!Females 16 years and over
eco_2018,DP03_0010PE,Percent Estimate!!EMPLOYMENT STATUS!!Females 16 years and over
eco_2018,DP03_0010PM,Percent Margin of Error!!EMPLOYMENT STATUS!!Females 16 years and over
