Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
27019,Alabama,US,1/22/2020,0,0
27020,Alabama,US,1/23/2020,0,0
27021,Alabama,US,1/24/2020,0,0
27022,Alabama,US,1/25/2020,0,0
27023,Alabama,US,1/26/2020,0,0
27024,Alabama,US,1/27/2020,0,0
27025,Alabama,US,1/28/2020,0,0
27026,Alabama,US,1/29/2020,0,0
27027,Alabama,US,1/30/2020,0,0
27028,Alabama,US,1/31/2020,0,0
27029,Alabama,US,2/1/2020,0,0
27030,Alabama,US,2/2/2020,0,0
27031,Alabama,US,2/3/2020,0,0
27032,Alabama,US,2/4/2020,0,0
27033,Alabama,US,2/5/2020,0,0
27034,Alabama,US,2/6/2020,0,0
27035,Alabama,US,2/7/2020,0,0
27036,Alabama,US,2/8/2020,0,0
27037,Alabama,US,2/9/2020,0,0
27038,Alabama,US,2/10/2020,0,0
27039,Alabama,US,2/11/2020,0,0
27040,Alabama,US,2/12/2020,0,0
27041,Alabama,US,2/13/2020,0,0
27042,Alabama,US,2/14/2020,0,0
27043,Alabama,US,2/15/2020,0,0
27044,Alabama,US,2/16/2020,0,0
27045,Alabama,US,2/17/2020,0,0
27046,Alabama,US,2/18/2020,0,0
27047,Alabama,US,2/19/2020,0,0
27048,Alabama,US,2/20/2020,0,0
27049,Alabama,US,2/21/2020,0,0
27050,Alabama,US,2/22/2020,0,0
27051,Alabama,US,2/23/2020,0,0
27052,Alabama,US,2/24/2020,0,0
27053,Alabama,US,2/25/2020,0,0
27054,Alabama,US,2/26/2020,0,0
27055,Alabama,US,2/27/2020,0,0
27056,Alabama,US,2/28/2020,0,0
27057,Alabama,US,2/29/2020,0,0
27058,Alabama,US,3/1/2020,0,0
27059,Alabama,US,3/2/2020,0,0
27060,Alabama,US,3/3/2020,0,0
27061,Alabama,US,3/4/2020,0,0
27062,Alabama,US,3/5/2020,0,0
27063,Alabama,US,3/6/2020,0,0
27064,Alabama,US,3/7/2020,0,0
27065,Alabama,US,3/8/2020,0,0
27066,Alabama,US,3/9/2020,0,0
27067,Alabama,US,3/10/2020,0,0
27068,Alabama,US,3/11/2020,0,0
27069,Alabama,US,3/12/2020,0,0
27070,Alabama,US,3/13/2020,5,0
27071,Alabama,US,3/14/2020,6,0
27072,Alabama,US,3/15/2020,12,0
27073,Alabama,US,3/16/2020,29,0
27074,Alabama,US,3/17/2020,39,0
27075,Alabama,US,3/18/2020,46,0
27076,Alabama,US,3/19/2020,78,0
27077,Alabama,US,3/20/2020,83,0
27078,Alabama,US,3/21/2020,131,0
27079,Alabama,US,3/22/2020,157,0
27080,Alabama,US,3/23/2020,196,0
27081,Alabama,US,3/24/2020,242,0
27082,Alabama,US,3/25/2020,381,1
27083,Alabama,US,3/26/2020,517,1
27084,Alabama,US,3/27/2020,587,4
27085,Alabama,US,3/28/2020,694,4
27086,Alabama,US,3/29/2020,825,10
27087,Alabama,US,3/30/2020,899,10
27088,Alabama,US,3/31/2020,987,23
27089,Alabama,US,4/1/2020,1060,27
27090,Alabama,US,4/2/2020,1233,32
27091,Alabama,US,4/3/2020,1495,38
27092,Alabama,US,4/4/2020,1614,44
27093,Alabama,US,4/5/2020,1765,45
27094,Alabama,US,4/6/2020,1952,49
27095,Alabama,US,4/7/2020,2169,64
27096,Alabama,US,4/8/2020,2328,66
27097,Alabama,US,4/9/2020,2703,70
27098,Alabama,US,4/10/2020,2947,80
27099,Alabama,US,4/11/2020,3217,92
27100,Alabama,US,4/12/2020,3563,93
27101,Alabama,US,4/13/2020,3734,99
27102,Alabama,US,4/14/2020,3953,114
27103,Alabama,US,4/15/2020,4075,118
27104,Alabama,US,4/16/2020,4345,133
27105,Alabama,US,4/17/2020,4571,148
27106,Alabama,US,4/18/2020,4712,153
27107,Alabama,US,4/19/2020,4888,157
27108,Alabama,US,4/20/2020,5079,163
27109,Alabama,US,4/21/2020,5317,183
27110,Alabama,US,4/22/2020,5593,196
27111,Alabama,US,4/23/2020,5832,202
27112,Alabama,US,4/24/2020,6026,209
27113,Alabama,US,4/25/2020,6026,209
27114,Alabama,US,4/26/2020,6421,219
27115,Alabama,US,4/27/2020,6539,228
27116,Alabama,US,4/28/2020,6750,242
27117,Alabama,US,4/29/2020,6912,256
27118,Alabama,US,4/30/2020,7088,272
27119,Alabama,US,5/1/2020,7294,289
27120,Alabama,US,5/2/2020,7611,288
27121,Alabama,US,5/3/2020,7888,290
27122,Alabama,US,5/4/2020,8112,298
27123,Alabama,US,5/5/2020,8437,315
27124,Alabama,US,5/6/2020,8691,343
27125,Alabama,US,5/7/2020,9046,369
27126,Alabama,US,5/8/2020,9385,383
27127,Alabama,US,5/9/2020,9668,390
27133,Alaska,US,1/22/2020,0,0
27134,Alaska,US,1/23/2020,0,0
27135,Alaska,US,1/24/2020,0,0
27136,Alaska,US,1/25/2020,0,0
27137,Alaska,US,1/26/2020,0,0
27138,Alaska,US,1/27/2020,0,0
27139,Alaska,US,1/28/2020,0,0
27140,Alaska,US,1/29/2020,0,0
27141,Alaska,US,1/30/2020,0,0
27142,Alaska,US,1/31/2020,0,0
27143,Alaska,US,2/1/2020,0,0
27144,Alaska,US,2/2/2020,0,0
27145,Alaska,US,2/3/2020,0,0
27146,Alaska,US,2/4/2020,0,0
27147,Alaska,US,2/5/2020,0,0
27148,Alaska,US,2/6/2020,0,0
27149,Alaska,US,2/7/2020,0,0
27150,Alaska,US,2/8/2020,0,0
27151,Alaska,US,2/9/2020,0,0
27152,Alaska,US,2/10/2020,0,0
27153,Alaska,US,2/11/2020,0,0
27154,Alaska,US,2/12/2020,0,0
27155,Alaska,US,2/13/2020,0,0
27156,Alaska,US,2/14/2020,0,0
27157,Alaska,US,2/15/2020,0,0
27158,Alaska,US,2/16/2020,0,0
27159,Alaska,US,2/17/2020,0,0
27160,Alaska,US,2/18/2020,0,0
27161,Alaska,US,2/19/2020,0,0
27162,Alaska,US,2/20/2020,0,0
27163,Alaska,US,2/21/2020,0,0
27164,Alaska,US,2/22/2020,0,0
27165,Alaska,US,2/23/2020,0,0
27166,Alaska,US,2/24/2020,0,0
27167,Alaska,US,2/25/2020,0,0
27168,Alaska,US,2/26/2020,0,0
27169,Alaska,US,2/27/2020,0,0
27170,Alaska,US,2/28/2020,0,0
27171,Alaska,US,2/29/2020,0,0
27172,Alaska,US,3/1/2020,0,0
27173,Alaska,US,3/2/2020,0,0
27174,Alaska,US,3/3/2020,0,0
27175,Alaska,US,3/4/2020,0,0
27176,Alaska,US,3/5/2020,0,0
27177,Alaska,US,3/6/2020,0,0
27178,Alaska,US,3/7/2020,0,0
27179,Alaska,US,3/8/2020,0,0
27180,Alaska,US,3/9/2020,0,0
27181,Alaska,US,3/10/2020,0,0
27182,Alaska,US,3/11/2020,0,0
27183,Alaska,US,3/12/2020,0,0
27184,Alaska,US,3/13/2020,1,0
27185,Alaska,US,3/14/2020,0,0
27186,Alaska,US,3/15/2020,1,0
27187,Alaska,US,3/16/2020,1,0
27188,Alaska,US,3/17/2020,3,0
27189,Alaska,US,3/18/2020,6,0
27190,Alaska,US,3/19/2020,9,0
27191,Alaska,US,3/20/2020,12,0
27192,Alaska,US,3/21/2020,15,0
27193,Alaska,US,3/22/2020,20,0
27194,Alaska,US,3/23/2020,30,0
27195,Alaska,US,3/24/2020,34,0
27196,Alaska,US,3/25/2020,41,1
27197,Alaska,US,3/26/2020,56,1
27198,Alaska,US,3/27/2020,58,1
27199,Alaska,US,3/28/2020,85,2
27200,Alaska,US,3/29/2020,102,2
27201,Alaska,US,3/30/2020,114,3
27202,Alaska,US,3/31/2020,119,3
27203,Alaska,US,4/1/2020,132,3
27204,Alaska,US,4/2/2020,143,3
27205,Alaska,US,4/3/2020,157,3
27206,Alaska,US,4/4/2020,171,5
27207,Alaska,US,4/5/2020,185,6
27208,Alaska,US,4/6/2020,190,6
27209,Alaska,US,4/7/2020,213,6
27210,Alaska,US,4/8/2020,226,7
27211,Alaska,US,4/9/2020,235,7
27212,Alaska,US,4/10/2020,246,7
27213,Alaska,US,4/11/2020,257,8
27214,Alaska,US,4/12/2020,272,8
27215,Alaska,US,4/13/2020,277,8
27216,Alaska,US,4/14/2020,285,9
27217,Alaska,US,4/15/2020,293,9
27218,Alaska,US,4/16/2020,300,9
27219,Alaska,US,4/17/2020,309,9
27220,Alaska,US,4/18/2020,314,9
27221,Alaska,US,4/19/2020,319,9
27222,Alaska,US,4/20/2020,321,9
27223,Alaska,US,4/21/2020,329,9
27224,Alaska,US,4/22/2020,335,9
27225,Alaska,US,4/23/2020,337,9
27226,Alaska,US,4/24/2020,339,9
27227,Alaska,US,4/25/2020,339,9
27228,Alaska,US,4/26/2020,340,9
27229,Alaska,US,4/27/2020,345,9
27230,Alaska,US,4/28/2020,351,9
27231,Alaska,US,4/29/2020,355,9
27232,Alaska,US,4/30/2020,355,9
27233,Alaska,US,5/1/2020,364,9
27234,Alaska,US,5/2/2020,365,9
27235,Alaska,US,5/3/2020,368,9
27236,Alaska,US,5/4/2020,370,9
27237,Alaska,US,5/5/2020,371,9
27238,Alaska,US,5/6/2020,372,10
27239,Alaska,US,5/7/2020,374,10
27240,Alaska,US,5/8/2020,377,10
27241,Alaska,US,5/9/2020,378,10
27247,Arizona,US,1/22/2020,0,0
27248,Arizona,US,1/23/2020,0,0
27249,Arizona,US,1/24/2020,0,0
27250,Arizona,US,1/25/2020,0,0
27251,Arizona,US,1/26/2020,0,0
27252,Arizona,US,1/27/2020,0,0
27253,Arizona,US,1/28/2020,0,0
27254,Arizona,US,1/29/2020,0,0
27255,Arizona,US,1/30/2020,0,0
27256,Arizona,US,1/31/2020,0,0
27257,Arizona,US,2/1/2020,0,0
27258,Arizona,US,2/2/2020,0,0
27259,Arizona,US,2/3/2020,0,0
27260,Arizona,US,2/4/2020,0,0
27261,Arizona,US,2/5/2020,0,0
27262,Arizona,US,2/6/2020,0,0
27263,Arizona,US,2/7/2020,0,0
27264,Arizona,US,2/8/2020,0,0
27265,Arizona,US,2/9/2020,0,0
27266,Arizona,US,2/10/2020,0,0
27267,Arizona,US,2/11/2020,0,0
27268,Arizona,US,2/12/2020,0,0
27269,Arizona,US,2/13/2020,0,0
27270,Arizona,US,2/14/2020,0,0
27271,Arizona,US,2/15/2020,0,0
27272,Arizona,US,2/16/2020,0,0
27273,Arizona,US,2/17/2020,0,0
27274,Arizona,US,2/18/2020,0,0
27275,Arizona,US,2/19/2020,0,0
27276,Arizona,US,2/20/2020,0,0
27277,Arizona,US,2/21/2020,0,0
27278,Arizona,US,2/22/2020,0,0
27279,Arizona,US,2/23/2020,0,0
27280,Arizona,US,2/24/2020,0,0
27281,Arizona,US,2/25/2020,0,0
27282,Arizona,US,2/26/2020,0,0
27283,Arizona,US,2/27/2020,0,0
27284,Arizona,US,2/28/2020,0,0
27285,Arizona,US,2/29/2020,0,0
27286,Arizona,US,3/1/2020,0,0
27287,Arizona,US,3/2/2020,0,0
27288,Arizona,US,3/3/2020,0,0
27289,Arizona,US,3/4/2020,0,0
27290,Arizona,US,3/5/2020,0,0
27291,Arizona,US,3/6/2020,0,0
27292,Arizona,US,3/7/2020,0,0
27293,Arizona,US,3/8/2020,0,0
27294,Arizona,US,3/9/2020,0,0
27295,Arizona,US,3/10/2020,6,0
27296,Arizona,US,3/11/2020,9,0
27297,Arizona,US,3/12/2020,9,0
27298,Arizona,US,3/13/2020,9,0
27299,Arizona,US,3/14/2020,12,0
27300,Arizona,US,3/15/2020,13,0
27301,Arizona,US,3/16/2020,18,0
27302,Arizona,US,3/17/2020,20,0
27303,Arizona,US,3/18/2020,27,0
27304,Arizona,US,3/19/2020,45,0
27305,Arizona,US,3/20/2020,78,0
27306,Arizona,US,3/21/2020,118,1
27307,Arizona,US,3/22/2020,152,2
27308,Arizona,US,3/23/2020,235,2
27309,Arizona,US,3/24/2020,326,5
27310,Arizona,US,3/25/2020,401,6
27311,Arizona,US,3/26/2020,508,8
27312,Arizona,US,3/27/2020,665,13
27313,Arizona,US,3/28/2020,773,15
27314,Arizona,US,3/29/2020,919,17
27315,Arizona,US,3/30/2020,1157,20
27316,Arizona,US,3/31/2020,1289,24
27317,Arizona,US,4/1/2020,1530,29
27318,Arizona,US,4/2/2020,1715,32
27319,Arizona,US,4/3/2020,1937,41
27320,Arizona,US,4/4/2020,2187,52
27321,Arizona,US,4/5/2020,2486,64
27322,Arizona,US,4/6/2020,2732,65
27323,Arizona,US,4/7/2020,2870,73
27324,Arizona,US,4/8/2020,3036,80
27325,Arizona,US,4/9/2020,3018,89
27326,Arizona,US,4/10/2020,3112,97
27327,Arizona,US,4/11/2020,3393,108
27328,Arizona,US,4/12/2020,3542,115
27329,Arizona,US,4/13/2020,3705,122
27330,Arizona,US,4/14/2020,3809,131
27331,Arizona,US,4/15/2020,3964,142
27332,Arizona,US,4/16/2020,4237,150
27333,Arizona,US,4/17/2020,4511,169
27334,Arizona,US,4/18/2020,4724,180
27335,Arizona,US,4/19/2020,4933,184
27336,Arizona,US,4/20/2020,5068,191
27337,Arizona,US,4/21/2020,5256,208
27338,Arizona,US,4/22/2020,5473,231
27339,Arizona,US,4/23/2020,5772,249
27340,Arizona,US,4/24/2020,6045,266
27341,Arizona,US,4/25/2020,6286,273
27342,Arizona,US,4/26/2020,6534,275
27343,Arizona,US,4/27/2020,6725,275
27344,Arizona,US,4/28/2020,6955,275
27345,Arizona,US,4/29/2020,7209,308
27346,Arizona,US,4/30/2020,7655,320
27347,Arizona,US,5/1/2020,7969,330
27348,Arizona,US,5/2/2020,8364,330
27349,Arizona,US,5/3/2020,8640,362
27350,Arizona,US,5/4/2020,8924,362
27351,Arizona,US,5/5/2020,9305,395
27352,Arizona,US,5/6/2020,9707,426
27353,Arizona,US,5/7/2020,9945,450
27354,Arizona,US,5/8/2020,10526,517
27355,Arizona,US,5/9/2020,10960,532
27361,Arkansas,US,1/22/2020,0,0
27362,Arkansas,US,1/23/2020,0,0
27363,Arkansas,US,1/24/2020,0,0
27364,Arkansas,US,1/25/2020,0,0
27365,Arkansas,US,1/26/2020,0,0
27366,Arkansas,US,1/27/2020,0,0
27367,Arkansas,US,1/28/2020,0,0
27368,Arkansas,US,1/29/2020,0,0
27369,Arkansas,US,1/30/2020,0,0
27370,Arkansas,US,1/31/2020,0,0
27371,Arkansas,US,2/1/2020,0,0
27372,Arkansas,US,2/2/2020,0,0
27373,Arkansas,US,2/3/2020,0,0
27374,Arkansas,US,2/4/2020,0,0
27375,Arkansas,US,2/5/2020,0,0
27376,Arkansas,US,2/6/2020,0,0
27377,Arkansas,US,2/7/2020,0,0
27378,Arkansas,US,2/8/2020,0,0
27379,Arkansas,US,2/9/2020,0,0
27380,Arkansas,US,2/10/2020,0,0
27381,Arkansas,US,2/11/2020,0,0
27382,Arkansas,US,2/12/2020,0,0
27383,Arkansas,US,2/13/2020,0,0
27384,Arkansas,US,2/14/2020,0,0
27385,Arkansas,US,2/15/2020,0,0
27386,Arkansas,US,2/16/2020,0,0
27387,Arkansas,US,2/17/2020,0,0
27388,Arkansas,US,2/18/2020,0,0
27389,Arkansas,US,2/19/2020,0,0
27390,Arkansas,US,2/20/2020,0,0
27391,Arkansas,US,2/21/2020,0,0
