Province_State,Country_Region,Date,ConfirmedCases,Fatalities,D1Confirm,D2Confirm,D1Fatalities,D2Fatalities,DaySince,LockDownDate1,Group,SeniorPopulation,SeniorMalePopulation,PublicTransportaionE,PublicTransportationP,MeanTravelTime,Household,Income,FoodStamp,NoHealthIns,PovertyLevel,DeclaredDate,ReopenDate,PartialReopen,KGroupe,KGroup
Alabama,US,2020-03-13,5,0,5.0,5.0,0.0,0.0,-22.0,2020-04-04,1.0,783832.0,91.1,6959.0,0.3,24.7,48486.0,67243.0,269603.0,477474.0,17.5,2020-03-13,2020-04-30,0.0,0.0,2
Alabama,US,2020-03-14,6,0,1.0,-4.0,0.0,0.0,-21.0,2020-04-04,1.0,783832.0,91.1,6959.0,0.3,24.7,48486.0,67243.0,269603.0,477474.0,17.5,2020-03-13,2020-04-30,0.0,0.0,2
Alabama,US,2020-03-15,12,0,6.0,5.0,0.0,0.0,-20.0,2020-04-04,1.0,783832.0,91.1,6959.0,0.3,24.7,48486.0,67243.0,269603.0,477474.0,17.5,2020-03-13,2020-04-30,0.0,0.0,2
Alabama,US,2020-03-16,29,0,17.0,11.0,0.0,0.0,-19.0,2020-04-04,1.0,783832.0,91.1,6959.0,0.3,24.7,48486.0,67243.0,269603.0,477474.0,17.5,2020-03-13,2020-04-30,0.0,0.0,2
Alabama,US,2020-03-17,39,0,10.0,-7.0,0.0,0.0,-18.0,2020-04-04,1.0,783832.0,91.1,6959.0,0.3,24.7,48486.0,67243.0,269603.0,477474.0,17.5,2020-03-13,2020-04-30,0.0,0.0,2
Alabama,US,2020-03-18,46,0,7.0,-3.0,0.0,0.0,-17.0,2020-04-04,1.0,783832.0,91.1,6959.0,0.3,24.7,48486.0,67243.0,269603.0,477474.0,17.5,2020-03-13,2020-04-30,0.0,0.0,2
Alabama,US,2020-03-19,78,0,32.0,25.0,0.0,0.0,-16.0,2020-04-04,1.0,783832.0,91.1,6959.0,0.3,24.7,48486.0,67243.0,269603.0,477474.0,17.5,2020-03-13,2020-04-30,0.0,0.0,2
Alabama,US,2020-03-20,83,0,5.0,-27.0,0.0,0.0,-15.0,2020-04-04,1.0,783832.0,91.1,6959.0,0.3,24.7,48486.0,67243.0,269603.0,477474.0,17.5,2020-03-13,2020-04-30,0.0,0.0,2
Alabama,US,2020-03-21,131,0,48.0,43.0,0.0,0.0,-14.0,2020-04-04,1.0,783832.0,91.1,6959.0,0.3,24.7,48486.0,67243.0,269603.0,477474.0,17.5,2020-03-13,2020-04-30,0.0,0.0,2
Alabama,US,2020-03-22,157,0,26.0,-22.0,0.0,0.0,-13.0,2020-04-04,1.0,783832.0,91.1,6959.0,0.3,24.7,48486.0,67243.0,269603.0,477474.0,17.5,2020-03-13,2020-04-30,0.0,0.0,2
