Province_State,Country_Region,Date,ConfirmedCases,Fatalities,D1Confirm,D2Confirm,D1Fatalities,D2Fatalities,DaySince,LockDownDate1,Group,SeniorPopulation,SeniorMalePopulation,PublicTransportaionE,PublicTransportationP,MeanTravelTime,Household,Income,FoodStamp,NoHealthIns,PovertyLevel,DeclaredDate,ReopenDate,PartialReopen,StateFactor,KGroup1,KG1Sum,KGroup2
Alabama,US,3/13/2020,5,0,5,5,0,0,-22,4/4/2020,1,783832,91.1,6959,0.3,24.7,48486,67243,269603,477474,17.5,3/13/2020,4/30/2020,0,1,1,1,2
Alabama,US,3/14/2020,6,0,1,-4,0,0,-21,4/4/2020,1,783832,91.1,6959,0.3,24.7,48486,67243,269603,477474,17.5,3/13/2020,4/30/2020,0,1,1,1,2
Alabama,US,3/15/2020,12,0,6,5,0,0,-20,4/4/2020,1,783832,91.1,6959,0.3,24.7,48486,67243,269603,477474,17.5,3/13/2020,4/30/2020,0,1,1,1,2
Alabama,US,3/16/2020,29,0,17,11,0,0,-19,4/4/2020,1,783832,91.1,6959,0.3,24.7,48486,67243,269603,477474,17.5,3/13/2020,4/30/2020,0,1,1,1,2
Alabama,US,3/17/2020,39,0,10,-7,0,0,-18,4/4/2020,1,783832,91.1,6959,0.3,24.7,48486,67243,269603,477474,17.5,3/13/2020,4/30/2020,0,1,1,1,2
Alabama,US,3/18/2020,46,0,7,-3,0,0,-17,4/4/2020,1,783832,91.1,6959,0.3,24.7,48486,67243,269603,477474,17.5,3/13/2020,4/30/2020,0,1,1,1,2
Alabama,US,3/19/2020,78,0,32,25,0,0,-16,4/4/2020,1,783832,91.1,6959,0.3,24.7,48486,67243,269603,477474,17.5,3/13/2020,4/30/2020,0,1,1,1,2
Alabama,US,3/20/2020,83,0,5,-27,0,0,-15,4/4/2020,1,783832,91.1,6959,0.3,24.7,48486,67243,269603,477474,17.5,3/13/2020,4/30/2020,0,1,1,1,2
Alabama,US,3/21/2020,131,0,48,43,0,0,-14,4/4/2020,1,783832,91.1,6959,0.3,24.7,48486,67243,269603,477474,17.5,3/13/2020,4/30/2020,0,1,1,1,2
Alabama,US,3/22/2020,157,0,26,-22,0,0,-13,4/4/2020,1,783832,91.1,6959,0.3,24.7,48486,67243,269603,477474,17.5,3/13/2020,4/30/2020,0,1,1,1,2
Alabama,US,3/23/2020,196,0,39,13,0,0,-12,4/4/2020,1,783832,91.1,6959,0.3,24.7,48486,67243,269603,477474,17.5,3/13/2020,4/30/2020,0,1,1,1,2
Alabama,US,3/24/2020,242,0,46,7,0,0,-11,4/4/2020,1,783832,91.1,6959,0.3,24.7,48486,67243,269603,477474,17.5,3/13/2020,4/30/2020,0,1,1,1,2
Alabama,US,3/25/2020,381,1,139,93,1,1,-10,4/4/2020,1,783832,91.1,6959,0.3,24.7,48486,67243,269603,477474,17.5,3/13/2020,4/30/2020,0,1,1,1,2
Alabama,US,3/26/2020,517,1,136,-3,0,-1,-9,4/4/2020,1,783832,91.1,6959,0.3,24.7,48486,67243,269603,477474,17.5,3/13/2020,4/30/2020,0,1,1,1,2
Alabama,US,3/27/2020,587,4,70,-66,3,3,-8,4/4/2020,1,783832,91.1,6959,0.3,24.7,48486,67243,269603,477474,17.5,3/13/2020,4/30/2020,0,1,1,1,2
Alabama,US,3/28/2020,694,4,107,37,0,-3,-7,4/4/2020,1,783832,91.1,6959,0.3,24.7,48486,67243,269603,477474,17.5,3/13/2020,4/30/2020,0,1,1,1,2
Alabama,US,3/29/2020,825,10,131,24,6,6,-6,4/4/2020,1,783832,91.1,6959,0.3,24.7,48486,67243,269603,477474,17.5,3/13/2020,4/30/2020,0,1,1,1,2
Alabama,US,3/30/2020,899,10,74,-57,0,-6,-5,4/4/2020,1,783832,91.1,6959,0.3,24.7,48486,67243,269603,477474,17.5,3/13/2020,4/30/2020,0,1,1,1,2
Alabama,US,3/31/2020,987,23,88,14,13,13,-4,4/4/2020,1,783832,91.1,6959,0.3,24.7,48486,67243,269603,477474,17.5,3/13/2020,4/30/2020,0,1,1,1,2
Alabama,US,4/1/2020,1060,27,73,-15,4,-9,-3,4/4/2020,1,783832,91.1,6959,0.3,24.7,48486,67243,269603,477474,17.5,3/13/2020,4/30/2020,0,1,1,1,2
Alabama,US,4/2/2020,1233,32,173,100,5,1,-2,4/4/2020,1,783832,91.1,6959,0.3,24.7,48486,67243,269603,477474,17.5,3/13/2020,4/30/2020,0,1,1,1,2
Alabama,US,4/3/2020,1495,38,262,89,6,1,-1,4/4/2020,1,783832,91.1,6959,0.3,24.7,48486,67243,269603,477474,17.5,3/13/2020,4/30/2020,0,1,1,1,2
Alabama,US,4/4/2020,1614,44,119,-143,6,0,0,4/4/2020,1,783832,91.1,6959,0.3,24.7,48486,67243,269603,477474,17.5,3/13/2020,4/30/2020,0,1,1,1,2
Alabama,US,4/5/2020,1765,45,151,32,1,-5,1,4/4/2020,1,783832,91.1,6959,0.3,24.7,48486,67243,269603,477474,17.5,3/13/2020,4/30/2020,0,1,1,1,2
Alabama,US,4/6/2020,1952,49,187,36,4,3,2,4/4/2020,1,783832,91.1,6959,0.3,24.7,48486,67243,269603,477474,17.5,3/13/2020,4/30/2020,0,1,1,1,2
Alabama,US,4/7/2020,2169,64,217,30,15,11,3,4/4/2020,1,783832,91.1,6959,0.3,24.7,48486,67243,269603,477474,17.5,3/13/2020,4/30/2020,0,1,1,1,2
Alabama,US,4/8/2020,2328,66,159,-58,2,-13,4,4/4/2020,1,783832,91.1,6959,0.3,24.7,48486,67243,269603,477474,17.5,3/13/2020,4/30/2020,0,1,1,1,2
