,Province_State,Country_Region,Date,ConfirmedCases,Fatalities,D1Confirm,D2Confirm,D1Fatalities,D2Fatalities,DaySince,LockDownDate1,Group,SeniorPopulation,SeniorMalePopulation,PublicTransportaionE,PublicTransportationP,MeanTravelTime,Household,Income,FoodStamp,NoHealthIns,PovertyLevel,DeclaredDate,ReopenDate,PartialReopen,StateFactor,KGroup1,KG1Sum,KGroup2,lat,lon,continent,population,area,density
0,Alabama,US,3/13/2020,5,0,5,5,0,0,-22,4/4/2020,1,783832,91.1,6959,0.3,24.7,48486,67243,269603,477474,17.5,3/13/2020,4/30/2020,0.0,1,1,1,2,32.3182,-86.9023,Americas,4903185,135767,36.11
1,Alabama,US,3/14/2020,6,0,1,-4,0,0,-21,4/4/2020,1,783832,91.1,6959,0.3,24.7,48486,67243,269603,477474,17.5,3/13/2020,4/30/2020,0.0,1,1,1,2,32.3182,-86.9023,Americas,4903185,135767,36.11
2,Alabama,US,3/15/2020,12,0,6,5,0,0,-20,4/4/2020,1,783832,91.1,6959,0.3,24.7,48486,67243,269603,477474,17.5,3/13/2020,4/30/2020,0.0,1,1,1,2,32.3182,-86.9023,Americas,4903185,135767,36.11
3,Alabama,US,3/16/2020,29,0,17,11,0,0,-19,4/4/2020,1,783832,91.1,6959,0.3,24.7,48486,67243,269603,477474,17.5,3/13/2020,4/30/2020,0.0,1,1,1,2,32.3182,-86.9023,Americas,4903185,135767,36.11
4,Alabama,US,3/17/2020,39,0,10,-7,0,0,-18,4/4/2020,1,783832,91.1,6959,0.3,24.7,48486,67243,269603,477474,17.5,3/13/2020,4/30/2020,0.0,1,1,1,2,32.3182,-86.9023,Americas,4903185,135767,36.11
5,Alabama,US,3/18/2020,46,0,7,-3,0,0,-17,4/4/2020,1,783832,91.1,6959,0.3,24.7,48486,67243,269603,477474,17.5,3/13/2020,4/30/2020,0.0,1,1,1,2,32.3182,-86.9023,Americas,4903185,135767,36.11
6,Alabama,US,3/19/2020,78,0,32,25,0,0,-16,4/4/2020,1,783832,91.1,6959,0.3,24.7,48486,67243,269603,477474,17.5,3/13/2020,4/30/2020,0.0,1,1,1,2,32.3182,-86.9023,Americas,4903185,135767,36.11
7,Alabama,US,3/20/2020,83,0,5,-27,0,0,-15,4/4/2020,1,783832,91.1,6959,0.3,24.7,48486,67243,269603,477474,17.5,3/13/2020,4/30/2020,0.0,1,1,1,2,32.3182,-86.9023,Americas,4903185,135767,36.11
8,Alabama,US,3/21/2020,131,0,48,43,0,0,-14,4/4/2020,1,783832,91.1,6959,0.3,24.7,48486,67243,269603,477474,17.5,3/13/2020,4/30/2020,0.0,1,1,1,2,32.3182,-86.9023,Americas,4903185,135767,36.11
9,Alabama,US,3/22/2020,157,0,26,-22,0,0,-13,4/4/2020,1,783832,91.1,6959,0.3,24.7,48486,67243,269603,477474,17.5,3/13/2020,4/30/2020,0.0,1,1,1,2,32.3182,-86.9023,Americas,4903185,135767,36.11
10,Alabama,US,3/23/2020,196,0,39,13,0,0,-12,4/4/2020,1,783832,91.1,6959,0.3,24.7,48486,67243,269603,477474,17.5,3/13/2020,4/30/2020,0.0,1,1,1,2,32.3182,-86.9023,Americas,4903185,135767,36.11
11,Alabama,US,3/24/2020,242,0,46,7,0,0,-11,4/4/2020,1,783832,91.1,6959,0.3,24.7,48486,67243,269603,477474,17.5,3/13/2020,4/30/2020,0.0,1,1,1,2,32.3182,-86.9023,Americas,4903185,135767,36.11
12,Alabama,US,3/25/2020,381,1,139,93,1,1,-10,4/4/2020,1,783832,91.1,6959,0.3,24.7,48486,67243,269603,477474,17.5,3/13/2020,4/30/2020,0.0,1,1,1,2,32.3182,-86.9023,Americas,4903185,135767,36.11
13,Alabama,US,3/26/2020,517,1,136,-3,0,-1,-9,4/4/2020,1,783832,91.1,6959,0.3,24.7,48486,67243,269603,477474,17.5,3/13/2020,4/30/2020,0.0,1,1,1,2,32.3182,-86.9023,Americas,4903185,135767,36.11
14,Alabama,US,3/27/2020,587,4,70,-66,3,3,-8,4/4/2020,1,783832,91.1,6959,0.3,24.7,48486,67243,269603,477474,17.5,3/13/2020,4/30/2020,0.0,1,1,1,2,32.3182,-86.9023,Americas,4903185,135767,36.11
