Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities
28521,Guam,US,2020-01-22,0,0
28522,Guam,US,2020-01-23,0,0
28523,Guam,US,2020-01-24,0,0
28524,Guam,US,2020-01-25,0,0
28525,Guam,US,2020-01-26,0,0
28526,Guam,US,2020-01-27,0,0
28527,Guam,US,2020-01-28,0,0
28528,Guam,US,2020-01-29,0,0
28529,Guam,US,2020-01-30,0,0
28530,Guam,US,2020-01-31,0,0
28531,Guam,US,2020-02-01,0,0
28532,Guam,US,2020-02-02,0,0
28533,Guam,US,2020-02-03,0,0
28534,Guam,US,2020-02-04,0,0
28535,Guam,US,2020-02-05,0,0
28536,Guam,US,2020-02-06,0,0
28537,Guam,US,2020-02-07,0,0
28538,Guam,US,2020-02-08,0,0
28539,Guam,US,2020-02-09,0,0
28540,Guam,US,2020-02-10,0,0
28541,Guam,US,2020-02-11,0,0
28542,Guam,US,2020-02-12,0,0
28543,Guam,US,2020-02-13,0,0
28544,Guam,US,2020-02-14,0,0
28545,Guam,US,2020-02-15,0,0
28546,Guam,US,2020-02-16,0,0
28547,Guam,US,2020-02-17,0,0
28548,Guam,US,2020-02-18,0,0
28549,Guam,US,2020-02-19,0,0
28550,Guam,US,2020-02-20,0,0
28551,Guam,US,2020-02-21,0,0
28552,Guam,US,2020-02-22,0,0
28553,Guam,US,2020-02-23,0,0
28554,Guam,US,2020-02-24,0,0
28555,Guam,US,2020-02-25,0,0
28556,Guam,US,2020-02-26,0,0
28557,Guam,US,2020-02-27,0,0
28558,Guam,US,2020-02-28,0,0
28559,Guam,US,2020-02-29,0,0
28560,Guam,US,2020-03-01,0,0
28561,Guam,US,2020-03-02,0,0
28562,Guam,US,2020-03-03,0,0
28563,Guam,US,2020-03-04,0,0
28564,Guam,US,2020-03-05,0,0
28565,Guam,US,2020-03-06,0,0
28566,Guam,US,2020-03-07,0,0
28567,Guam,US,2020-03-08,0,0
28568,Guam,US,2020-03-09,0,0
28569,Guam,US,2020-03-10,0,0
28570,Guam,US,2020-03-11,0,0
28571,Guam,US,2020-03-12,0,0
28572,Guam,US,2020-03-13,0,0
28573,Guam,US,2020-03-14,0,0
28574,Guam,US,2020-03-15,3,0
28575,Guam,US,2020-03-16,3,0
28576,Guam,US,2020-03-17,3,0
28577,Guam,US,2020-03-18,5,0
28578,Guam,US,2020-03-19,12,0
28579,Guam,US,2020-03-20,14,0
28580,Guam,US,2020-03-21,15,0
28581,Guam,US,2020-03-22,27,1
28582,Guam,US,2020-03-23,29,1
28583,Guam,US,2020-03-24,32,1
28584,Guam,US,2020-03-25,37,1
28585,Guam,US,2020-03-26,45,1
28586,Guam,US,2020-03-27,51,1
28587,Guam,US,2020-03-28,55,1
28588,Guam,US,2020-03-29,56,1
28589,Guam,US,2020-03-30,58,1
28590,Guam,US,2020-03-31,69,2
28591,Guam,US,2020-04-01,77,3
28592,Guam,US,2020-04-02,82,3
28593,Guam,US,2020-04-03,84,4
28594,Guam,US,2020-04-04,93,4
28595,Guam,US,2020-04-05,112,4
28596,Guam,US,2020-04-06,113,4
28597,Guam,US,2020-04-07,121,4
28598,Guam,US,2020-04-08,121,4
28599,Guam,US,2020-04-09,128,4
28600,Guam,US,2020-04-10,130,4
28601,Guam,US,2020-04-11,133,5
28602,Guam,US,2020-04-12,133,5
28603,Guam,US,2020-04-13,133,5
28604,Guam,US,2020-04-14,133,5
28605,Guam,US,2020-04-15,135,5
