Country_Region,continent,geo_region,country_iso_code_3,ConfirmedCases,Fatalities,Log10Confirmed,Log10Fatalities
Italy,Europe,Southern Europe,ITA,105792.0,12428.0,5.02445693270912,4.094436188017956
Spain,Europe,Southern Europe,ESP,95923.0,8464.0,4.981927280408841,3.927626962444954
US,Americas,Northern America,USA,188018.0,3870.0,5.274201738509507,3.5878231713189552
France,Europe,Western Europe,FRA,52827.0,3532.0,4.722864169168759,3.5481436374348454
China,Asia,Eastern Asia,CHN,82279.0,3309.0,4.9152942830226865,3.519827993775719
Iran,Asia,Southern Asia,IRN,44605.0,2898.0,4.649393280049168,3.4622482153549976
United Kingdom,Europe,Northern Europe,GBR,25471.0,1793.0,4.406063046057575,3.2538224387080734
Netherlands,Europe,Western Europe,NLD,12667.0,1040.0,4.102708054699875,3.017450729510536
Germany,Europe,Western Europe,DEU,71808.0,775.0,4.856178878857711,2.8898617212581885
Belgium,Europe,Western Europe,BEL,12775.0,705.0,4.106394903130426,2.8488047010518036
Switzerland,Europe,Western Europe,CHE,16605.0,433.0,4.220265033587232,2.637489729512511
Turkey,Asia,Western Asia,TUR,13531.0,214.0,4.131361989115943,2.3324384599156054
Brazil,Americas,South America,BRA,5717.0,201.0,3.75724415102197,2.305351369446624
Sweden,Europe,Northern Europe,SWE,4435.0,180.0,3.6469915374771222,2.2576785748691846
Korea South,Asia,Eastern Asia,KOR,9786.0,162.0,3.9906495883188544,2.2121876044039577
Portugal,Europe,Southern Europe,PRT,7443.0,160.0,3.8718063644587293,2.2068258760318495
Indonesia,Asia,South-Eastern Asia,IDN,1528.0,136.0,3.1844074854123203,2.1367205671564067
Austria,Europe,Western Europe,AUT,10180.0,128.0,4.007790437445979,2.110589710299249
Canada,Americas,Northern America,CAN,8508.0,100.0,3.9298785236567833,2.0043213737826426
Denmark,Europe,Northern Europe,DNK,3039.0,90.0,3.482873583608754,1.9590413923210936
Philippines,Asia,South-Eastern Asia,PHL,2084.0,88.0,3.3191060593097763,1.9493900066449128
Romania,Europe,Eastern Europe,ROU,2245.0,82.0,3.351409751925439,1.919078092376074
Ecuador,Americas,South America,ECU,2240.0,75.0,3.350441856535061,1.8808135922807914
Ireland,Europe,Northern Europe,IRL,3235.0,71.0,3.5100085129402347,1.8573324964312685
Japan,Asia,Eastern Asia,JPN,1953.0,56.0,3.2909245593827543,1.7558748556724915
Dominican Republic,Americas,Caribbean,DOM,1109.0,51.0,3.0453229787866576,1.7160033436347992
Iraq,Asia,Western Asia,IRQ,694.0,50.0,2.8419848045901137,1.7075701760979363
Greece,Europe,Southern Europe,GRC,1314.0,49.0,3.1189257528257768,1.6989700043360187
Egypt,Africa,Northern Africa,EGY,710.0,46.0,2.851869600729766,1.6720978579357175
Algeria,Africa,Northern Africa,DZA,716.0,44.0,2.8555191556678,1.6532125137753437
