Geo#Country#Contintent,ConfirmedCases,Fatalities,LogConfirmed,LogFatalities,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31
Afghanistan-#Afghanistan#Asia,174.0,4.0,5.1647859739235145,1.6094379124341003,0.0,0.0,0.083,0.0,0.495,0.0,0.604,0.125,0.111,0.156,0.0,0.086,0.346,0.023,
Albania-#Albania#Europe,243.0,15.0,5.497168225293202,2.772588722239781,0.069,0.08,0.088,0.081,0.156,0.154,0.166,0.17,0.174,0.066,0.057,0.073,0.05,0.086,
Algeria-#Algeria#Africa,716.0,44.0,6.57507584059962,3.8066624897703196,0.207,0.16,0.034,0.431,0.367,0.134,0.137,0.134,0.194,0.108,0.104,0.118,0.133,0.203,
Andorra-#Andorra#Europe,376.0,12.0,5.932245187448011,2.5649493574615367,0.0,0.3,0.342,0.158,0.248,0.162,0.208,0.136,0.174,0.175,0.142,0.081,0.102,0.016,
Angola-#Angola#Africa,7.0,2.0,2.0794415416798357,1.0986122886681098,0.0,0.0,0.693,0.405,0.0,0.288,0.0,0.0,0.223,0.0,0.182,0.288,0.0,0.0,
Antigua and Barbuda-#Antigua and Barbuda#Americas,7.0,0.0,2.0794415416798357,0.0,0.0,0.0,0.0,0.0,0.0,0.693,0.0,0.0,0.693,0.0,0.0,0.0,0.0,0.0,
Argentina-#Argentina#Americas,1054.0,27.0,6.961296045910167,3.332204510175204,0.148,0.203,0.275,0.209,0.518,0.123,0.251,0.0,0.26,0.16,0.158,0.077,0.096,0.251,
Armenia-#Armenia#Asia,532.0,3.0,6.278521424165844,1.3862943611198906,0.073,0.311,0.166,0.161,0.192,0.191,0.058,0.062,0.09,0.126,0.212,0.041,0.128,0.099,
Australia-Australian Capital Territory#Australia#Oceania,80.0,1.0,4.394449154672439,0.6931471805599453,0.288,0.223,0.336,0.357,0.693,0.501,0.192,0.0,0.3,0.154,0.134,0.08,0.013,0.025,
Australia-New South Wales#Australia#Oceania,2032.0,8.0,7.617267813628347,2.1972245773362196,0.239,0.139,0.139,0.211,0.427,0.0,0.201,0.229,0.169,0.142,0.14,0.102,0.126,0.0,
Australia-Northern Territory#Australia#Oceania,17.0,0.0,2.8903717578961645,0.0,0.0,0.0,0.693,0.0,0.405,0.0,0.154,0.0,0.619,0.0,0.208,0.0,0.0,0.118,
Australia-Queensland#Australia#Oceania,743.0,2.0,6.612041034833092,1.0986122886681098,0.184,0.423,0.244,0.182,0.158,0.208,0.218,0.109,0.107,0.118,0.119,0.048,0.049,0.075,
Australia-South Australia#Australia#Oceania,337.0,0.0,5.823045895483019,0.0,0.236,0.124,0.171,0.288,0.396,0.29,0.236,0.0,0.322,0.089,0.11,0.041,0.02,0.099,
Australia-Tasmania#Australia#Oceania,69.0,1.0,4.248495242049359,0.6931471805599453,0.318,0.0,0.0,0.435,0.302,0.232,0.0,0.244,0.26,0.0,0.272,0.062,0.0,0.044,
Australia-Victoria#Australia#Oceania,917.0,4.0,6.822197390620491,1.6094379124341003,0.25,0.0,0.0,0.634,0.437,0.0,0.146,0.125,0.109,0.099,0.177,0.116,0.065,0.11,
Australia-Western Australia#Australia#Oceania,364.0,2.0,5.8998973535824915,1.0986122886681098,0.118,0.387,0.204,0.336,0.285,0.153,0.222,0.0,0.276,0.0,0.184,0.112,0.132,0.025,
Austria-#Austria#Europe,10180.0,128.0,9.228278517107196,4.859812404361672,0.212,0.201,0.171,0.164,0.241,0.222,0.166,0.056,0.212,0.103,0.077,0.061,0.09,0.057,
