Geo#Country#Contintent,ConfirmedCases,Fatalities,LogConfirmed,LogFatalities,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31
Afghanistan-#Afghanistan#Asia,174.0,4.0,5.1647859739235145,1.6094379124341003,0.0,0.0,0.0,0.0,0.693,0.0,0.0,0.405,0.511,0.0,0.0,0.0,0.0,0.0,
Albania-#Albania#Europe,243.0,15.0,5.497168225293202,2.772588722239781,0.405,0.0,0.0,0.0,0.0,0.511,0.182,0.0,0.154,0.251,0.201,0.0,0.087,0.288,
Algeria-#Algeria#Africa,716.0,44.0,6.57507584059962,3.8066624897703196,0.47,0.223,0.182,0.288,0.118,0.0,0.105,0.095,0.167,0.038,0.105,0.065,0.118,0.223,
Andorra-#Andorra#Europe,376.0,12.0,5.932245187448011,2.5649493574615367,0.0,0.0,0.0,0.0,0.693,0.0,0.0,0.0,0.693,0.0,0.0,0.56,0.251,0.368,
Angola-#Angola#Africa,7.0,2.0,2.0794415416798357,1.0986122886681098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.099,0.0,0.0,
Antigua and Barbuda-#Antigua and Barbuda#Americas,7.0,0.0,2.0794415416798357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Argentina-#Argentina#Americas,1054.0,27.0,6.961296045910167,3.332204510175204,0.0,0.288,0.0,0.223,0.0,0.0,0.336,0.251,0.105,0.336,0.305,0.051,0.182,0.154,
Armenia-#Armenia#Asia,532.0,3.0,6.278521424165844,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.693,0.0,0.0,0.693,0.0,0.0,
Australia-Australian Capital Territory#Australia#Oceania,80.0,1.0,4.394449154672439,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.693,0.0,
Australia-New South Wales#Australia#Oceania,2032.0,8.0,7.617267813628347,2.1972245773362196,0.182,0.0,0.154,0.0,0.0,0.0,0.134,0.0,0.0,0.0,0.118,0.0,0.0,0.0,
Australia-Northern Territory#Australia#Oceania,17.0,0.0,2.8903717578961645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Australia-Queensland#Australia#Oceania,743.0,2.0,6.612041034833092,1.0986122886681098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.693,0.0,0.0,0.405,0.0,0.0,
Australia-South Australia#Australia#Oceania,337.0,0.0,5.823045895483019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Australia-Tasmania#Australia#Oceania,69.0,1.0,4.248495242049359,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.693,
Australia-Victoria#Australia#Oceania,917.0,4.0,6.822197390620491,1.6094379124341003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.386,0.0,0.0,0.223,0.0,0.0,
Australia-Western Australia#Australia#Oceania,364.0,2.0,5.8998973535824915,1.0986122886681098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.405,0.0,0.0,0.0,0.0,0.0,
Austria-#Austria#Europe,10180.0,128.0,9.228278517107196,4.859812404361672,0.223,0.336,0.0,0.251,0.636,0.258,0.276,0.067,0.478,0.166,0.157,0.232,0.225,0.168,
Azerbaijan-#Azerbaijan#Asia,298.0,5.0,5.700443573390687,1.791759469228055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.405,0.288,0.0,0.223,0.0,0.0,0.182,
