Location,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31
Italy-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0986122886681098,1.0986122886681098,1.0986122886681098,1.0986122886681098,1.0986122886681098,1.0986122886681098,1.0986122886681098,1.3862943611198906,1.3862943611198906,1.3862943611198906,1.3862943611198906,1.3862943611198906,1.3862943611198906,1.3862943611198906,1.3862943611198906,1.3862943611198906,1.3862943611198906,1.3862943611198906,1.3862943611198906,1.3862943611198906,1.3862943611198906,3.044522437723423,4.143134726391533,5.049856007249537,5.438079308923196,5.777652323222656,6.118097198041348,6.486160788944089,6.790097235513905,7.029087564149662,7.43543801981455,7.619233416226805,7.8252452914317745,8.035926369891792,8.258163361537619,8.441822884391462,8.679992081721329,8.90598676523643,9.124019665509655,9.225228984469933,9.430519533826377,9.430519533826377,9.779114097696372,9.95977336354672,10.116499956650879,10.239280987394974,10.357965022348246,10.48329804775707,10.622205009207603,10.75837085628092,10.888912479243952,10.987645884234087,11.065512729054298,11.144423716416433,11.217036474371115,11.297129851318557,11.367888132159504,11.434671988999895,11.489554478646989,11.530175818376756,11.569239633646609
Spain-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,1.0986122886681098,1.0986122886681098,1.0986122886681098,1.0986122886681098,1.0986122886681098,1.0986122886681098,1.0986122886681098,1.0986122886681098,1.0986122886681098,1.0986122886681098,1.0986122886681098,1.0986122886681098,1.0986122886681098,1.0986122886681098,1.0986122886681098,1.0986122886681098,1.9459101490553132,2.6390573296152584,2.772588722239781,3.4965075614664802,3.828641396489095,4.442651256490317,4.795790545596741,5.111987788356544,5.407171771460119,5.560681631015528,5.993961427306569,6.2166061010848646,6.513230110912307,6.97914527506881,7.4360278163518485,7.731053144007127,7.731053144007127,8.562740006372207,8.76280248744611,8.961750799330497,9.204624064980074,9.371523409567573,9.54043517305957,9.796125034207629,9.923829250194043,10.141519716344089,10.267053697512587,10.467009985302088,10.593780664113167,10.8100511286517,10.964519115868827,11.093158572151204,11.201442382332495,11.291168451967353,11.384603337675054,11.471311490249764
US-New York,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.159055299214529,5.3981627015177525,5.796057750765372,6.045005314036012,6.26530121273771,6.597145701886651,6.875232087276577,7.442492722794441,7.822444729489319,8.58783803098557,9.025335217553026,9.368283850042138,9.6678285081515,9.946786476931276,10.15354563639122,10.3366326764176,10.54212574759568,10.71168069304257,10.866871771942366,10.996232662926191,11.107420356062043,11.23630201987518
Germany-,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,1.6094379124341003,1.6094379124341003,1.6094379124341003,1.791759469228055,2.1972245773362196,2.3978952727983707,2.5649493574615367,2.5649493574615367,2.5649493574615367,2.5649493574615367,2.6390573296152584,2.6390573296152584,2.70805020110221,2.70805020110221,2.833213344056216,2.833213344056216,2.833213344056216,2.833213344056216,2.833213344056216,2.833213344056216,2.833213344056216,2.833213344056216,2.833213344056216,2.833213344056216,2.833213344056216,2.833213344056216,2.833213344056216,2.833213344056216,2.8903717578961645,3.332204510175204,3.8501476017100584,3.8918202981106265,4.382026634673881,4.875197323201151,5.075173815233827,5.2832037287379885,5.572154032177765,6.180016653652572,6.508769136971682,6.684611727667927,6.947937068614969,7.0707241072602764,7.284820912568604,7.554334823725748,7.639642287858013,8.209580483475577,8.43076346341785,8.664923303440572,8.89192414015454,9.133243321591216,9.419628376999952,9.636979715315753,9.895908907012577,10.008477999727065,10.121578360213686,10.277014697108353,10.40386882344017,10.527391830353913,10.690557587372846,10.837067952947244,10.962943126003044,11.036436853608688,11.11074495665328,11.181765095370302
China-Hubei,6.09807428216624,6.09807428216624,6.309918278226516,6.635946555686647,6.9650803456014065,7.261225091971921,8.176110342237342,8.176110342237342,8.497806477616047,8.66681936537205,8.875426919818963,9.321702839829644,9.512147218473359,9.721905722077173,9.886646535340102,10.003920949857399,10.124789408970967,10.207325906555994,10.296610137445906,10.364986368165066,10.415322666595292,10.415322666595292,10.783259517709864,10.904248101036515,10.937561320066667,10.971348494831188,11.00193316064714,11.029763645186712,11.03540565991071,11.04200941959947,11.045526440793864,11.067965606163924,11.067965606163924,11.071128267614661,11.078860244930077,11.08503068189588,11.091285242179136,11.09612131219207,11.102518164322746,11.1110738204319,11.113998933701646,11.115696347786779,11.117405737207928,11.119393868426595,11.121259706373495,11.122353895452056,11.122959620308988,11.123491173934593,11.123742087186342,11.123933919554952,11.124051951954984,11.124125715130965,11.124184721754474,11.12424372489641,11.124302724557179,11.124317473928487,11.124332223082254,11.124332223082254,11.124332223082254,11.124332223082254,11.124332223082254,11.124332223082254,11.124346972018488,11.124346972018488,11.124346972018488,11.124346972018488,11.124346972018488,11.124346972018488,11.124346972018488,11.124346972018488
France-,0.0,0.0,1.0986122886681098,1.3862943611198906,1.3862943611198906,1.3862943611198906,1.6094379124341003,1.791759469228055,1.791759469228055,1.791759469228055,1.9459101490553132,1.9459101490553132,1.9459101490553132,1.9459101490553132,1.9459101490553132,1.9459101490553132,1.9459101490553132,2.4849066497880004,2.4849066497880004,2.4849066497880004,2.4849066497880004,2.4849066497880004,2.4849066497880004,2.4849066497880004,2.5649493574615367,2.5649493574615367,2.5649493574615367,2.5649493574615367,2.5649493574615367,2.5649493574615367,2.5649493574615367,2.5649493574615367,2.5649493574615367,2.5649493574615367,2.70805020110221,2.9444389791664403,3.6635616461296463,4.060443010546419,4.61512051684126,4.875197323201151,5.2574953720277815,5.3230099791384085,5.655991810819852,5.934894195619588,6.483107351457199,6.856461984594587,7.027314514039777,7.098375638590786,7.487173694213739,7.732807530422021,7.732807530422021,8.205764725234456,8.405143687607614,8.411832675758411,8.799963219506997,8.942853006809921,9.10985683339786,9.29394595583098,9.442483307087192,9.566825297862628,9.681530796701484,9.896311868787032,10.012566147562366,10.135947570487687,10.280416002502104,10.4032016715474,10.53412082770683,10.601000190605713,10.704389879336146,10.861476694765958
Iran-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0986122886681098,1.791759469228055,2.9444389791664403,3.367295829986474,3.784189633918261,4.127134385045092,4.564348191467836,4.941642422609304,5.5053315359323625,5.963579343618446,6.386879319362645,6.88653164253051,7.31455283232408,7.756623334538858,7.980365765111246,8.164510268747042,8.465478755729558,8.669742589876522,8.789812386190972,8.876544550558378,8.99255742690407,9.105090961257085,9.2179116374725,9.338293736286644,9.451716691551452,9.542445945729886,9.615272004478204,9.690912952571152,9.762039188951753,9.820540631715202,9.88557813199256,9.933580192843298,9.982252521171782,10.045421048424794,10.119082686093009,10.204258589529626,10.288988020224695,10.383843659485919,10.474721304097178,10.553466237694694,10.633352316031235,10.705623658107903
United Kingdom-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0986122886681098,1.0986122886681098,1.0986122886681098,1.0986122886681098,1.0986122886681098,1.0986122886681098,1.0986122886681098,1.3862943611198906,1.3862943611198906,1.3862943611198906,2.1972245773362196,2.1972245773362196,2.302585092994046,2.302585092994046,2.302585092994046,2.302585092994046,2.302585092994046,2.302585092994046,2.302585092994046,2.302585092994046,2.302585092994046,2.302585092994046,2.302585092994046,2.302585092994046,2.6390573296152584,2.6390573296152584,2.6390573296152584,2.772588722239781,3.044522437723423,3.1780538303479458,3.6109179126442243,3.713572066704308,3.9512437185814275,4.454347296253507,4.7535901911063645,5.099866427824199,5.332718793265369,5.6131281063880705,5.7745515455444085,5.948034989180646,6.124683390894205,6.124683390894205,6.683360945766275,7.039660349862076,7.039660349862076,7.342131730584722,7.576097340623111,7.87359778968554,7.897296472595885,8.290041618704489,8.520985989654934,8.64541048921699,8.802522498284421,8.996899596123358,9.162199996648248,9.36383369293329,9.58493381641726,9.746248776109637,9.879348536682802,10.005231536419412,10.132652936168832
US-New Jersey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.772588722239781,3.1780538303479458,3.4011973816621555,3.4011973816621555,4.248495242049359,4.59511985013459,5.187385805840755,5.5909869805108565,5.5909869805108565,6.610696044717759,6.792344427470809,7.191429330036379,7.557472901614746,7.953318346560431,8.209580483475577,8.390041405755754,8.835937789319836,9.085457189829492,9.31695010703444,9.502039365785897,9.719384409659742,9.836118362165275
Switzerland-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.6931471805599453,2.1972245773362196,2.1972245773362196,2.9444389791664403,3.332204510175204,3.7612001156935624,4.04305126783455,4.51085950651685,4.74493212836325,5.3706380281276624,5.594711379601839,5.823045895483019,5.926926025970411,6.198478716492308,6.481577129276431,6.481577129276431,7.038783541388542,7.215239978730097,7.696667081526462,7.696667081526462,7.901377353792616,8.015987811027237,8.312871394342615,8.574518258035507,8.791181936736017,8.919319398258887,9.082052351674651,9.19806534110057,9.296334565143043,9.376871242863814,9.467228129254554,9.552297538827965,9.604407435131979,9.675519883856426,9.717519354821976
