Location,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31
Italy-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,1.0986122886681098,1.3862943611198906,2.0794415416798357,2.3978952727983707,2.5649493574615367,2.8903717578961645,3.091042453358316,3.4011973816621555,3.5553480614894135,3.970291913552122,4.382026634673881,4.68213122712422,5.003946305945459,5.288267030694535,5.455321115357702,5.905361848054571,6.139884552226255,6.448889394146858,6.71901315438526,6.71901315438526,7.144407180321139,7.273786317844895,7.501082124259871,7.677400430514807,7.825644732219989,7.999342952713282,8.133293861222633,8.302265794873367,8.481773246184977,8.608312784783722,8.712430973476739,8.82776136765472,8.92319149068606,9.013838751608395,9.119868468812108,9.212737496575905,9.285447844462988,9.358070484000518,9.42778773074551
Spain-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,1.0986122886681098,1.3862943611198906,1.791759469228055,2.3978952727983707,2.8903717578961645,3.367295829986474,3.58351893845611,4.007333185232471,4.02535169073515,4.897839799950911,5.278114659230517,5.66988092298052,5.8377304471659395,6.280395838960195,6.436150368369428,6.7226297948554485,6.950814768442584,7.226936018493289,7.480428306074208,7.7458682297922685,7.940583827104244,8.201934351194222,8.38160253710989,8.54461378699223,8.696677393390031,8.825265953515752,8.951180966457603,9.043695294567236
France-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,1.0986122886681098,1.0986122886681098,1.0986122886681098,1.0986122886681098,1.0986122886681098,1.3862943611198906,1.6094379124341003,1.6094379124341003,1.9459101490553132,2.302585092994046,2.4849066497880004,2.995732273553991,2.995732273553991,3.5263605246161616,3.8918202981106265,3.8918202981106265,4.382026634673881,4.5217885770490405,4.5217885770490405,5.003946305945459,5.003946305945459,5.003946305945459,5.497168225293202,6.111467339502679,6.333279628139691,6.51471269087253,6.7580945044277305,7.00397413672268,7.194436851100335,7.436617265234227,7.59890045687141,7.747164966520335,7.865955413933502,8.014666370464942,8.16735198705607
China-Hubei,2.8903717578961645,2.8903717578961645,3.2188758248682006,3.713572066704308,3.970291913552122,4.343805421853684,4.836281906951478,4.836281906951478,5.093750200806762,5.3230099791384085,5.521460917862246,5.860786223465865,6.028278520230698,6.173786103901937,6.309918278226516,6.428105272684596,6.551080335043404,6.660575149839686,6.77078942390898,6.882437470997847,6.974478911025045,6.974478911025045,7.1785454837637,7.284820912568604,7.3758821482150125,7.436617265234227,7.489970898834801,7.561121589530238,7.615791072035833,7.6708948313621175,7.6708948313621175,7.760893195851024,7.760893195851024,7.822444729489319,7.849323818040561,7.86940171257709,7.879291485082271,7.894690850425624,7.911324018963353,7.923710333969238,7.938802248154481,7.950149887652018,7.962763930168115,7.97349996402463,7.983440063006542,7.992944547318106,8.00202481821611,8.009363076630045,8.014666370464942,8.021912778985708,8.025189321890835,8.027150106832774,8.031385330625534,8.034631032923107,8.039157390473237,8.043020885298283,8.046549357283078,8.049107721326406,8.050065422915965,8.0519780789023,8.056426767522984,8.056426767522984,8.058643712215618,8.059592328887545,8.061486866871327,8.063062911326792,8.064007347096661,8.065579427282092,8.066835314417336,8.067149039910106
Iran-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0986122886681098,1.0986122886681098,1.6094379124341003,1.791759469228055,2.1972245773362196,2.5649493574615367,2.833213344056216,2.995732273553991,3.295836866004329,3.5553480614894135,3.784189633918261,4.007333185232471,4.204692619390966,4.356708826689592,4.532599493153256,4.68213122712422,4.8283137373023015,4.983606621708336,5.272999558563747,5.472270673671475,5.676753802268282,5.872117789475416,6.063785208687608,6.244166900663736,6.416732282512326,6.586171654854675,6.74993119378857,6.8966943316227125,7.035268599281097,7.158513997329321,7.2682230211595655,7.350516171833998,7.430114138561801,7.502738210754851,7.5678626054638825,7.639161171659173,7.711996507047669,7.774435510302958,7.831220214604293,7.878912912297133,7.922261058353247,7.972121128921655
United Kingdom-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,1.0986122886681098,1.0986122886681098,1.3862943611198906,1.6094379124341003,1.9459101490553132,2.1972245773362196,2.1972245773362196,2.1972245773362196,3.091042453358316,3.091042453358316,4.02535169073515,4.02535169073515,4.276666119016055,4.927253685157205,5.181783550292085,5.455321115357702,5.641907070938114,5.817111159963204,6.0473721790462776,6.144185634125646,6.361302477572996,6.633318433280377,6.927557906278317,7.113956109566034,7.25063551189868,7.489970898834801
US-New York,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0986122886681098,1.3862943611198906,2.3978952727983707,2.6390573296152584,2.833213344056216,3.5553480614894135,3.7612001156935624,4.110873864173311,4.770684624465665,5.0689042022202315,5.351858133476067,5.655991810819852,5.955837369464831,6.269096283706261,6.591673732008658,6.873163834212518,7.105786129481271,7.346655163176539
Netherlands-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.6931471805599453,1.3862943611198906,1.3862943611198906,1.6094379124341003,1.791759469228055,1.791759469228055,2.3978952727983707,2.5649493574615367,3.044522437723423,3.2188758248682006,3.784189633918261,4.07753744390572,4.343805421853684,4.672828834461906,4.919980925828125,5.19295685089021,5.365976015021851,5.6240175061873385,5.877735781779639,6.075346031088684,6.304448802421981,6.461468176353717,6.648984550024776,6.762729506931879,6.946975992135418
Germany-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0986122886681098,1.0986122886681098,1.3862943611198906,1.3862943611198906,2.0794415416798357,2.302585092994046,2.4849066497880004,2.8903717578961645,3.2188758248682006,3.367295829986474,3.8066624897703196,4.219507705176107,4.442651256490317,4.553876891600541,4.820281565605037,5.062595033026967,5.332718793265369,5.5909869805108565,5.8377304471659395,6.073044534100405,6.280395838960195,6.470799503782602,6.654152520183219
Belgium-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3862943611198906,1.3862943611198906,1.3862943611198906,1.6094379124341003,1.6094379124341003,1.791759469228055,2.3978952727983707,2.70805020110221,3.091042453358316,3.6375861597263857,4.219507705176107,4.330733340286331,4.48863636973214,4.812184355372417,5.187385805840755,5.3981627015177525,5.66988092298052,5.869296913133774,6.068425588244111,6.2422232654551655,6.559615237493242
Switzerland-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,1.0986122886681098,1.0986122886681098,1.3862943611198906,1.6094379124341003,1.6094379124341003,2.4849066497880004,2.6390573296152584,2.70805020110221,2.70805020110221,3.332204510175204,3.367295829986474,3.7376696182833684,4.007333185232471,4.330733340286331,4.59511985013459,4.795790545596741,4.812184355372417,5.0369526024136295,5.2574953720277815,5.44673737166631,5.579729825986222,5.707110264748875,5.886104031450156,6.073044534100405
US-New Jersey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,1.0986122886681098,1.0986122886681098,1.3862943611198906,1.3862943611198906,2.302585092994046,2.4849066497880004,2.833213344056216,3.044522437723423,3.332204510175204,3.8066624897703196,4.143134726391533,4.406719247264253,4.6913478822291435,4.948759890378168,5.087596335232384,5.293304824724492,5.5909869805108565
US-Michigan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3862943611198906,1.3862943611198906,1.791759469228055,2.302585092994046,2.772588722239781,3.2188758248682006,3.784189633918261,4.127134385045092,4.532599493153256,4.718498871295094,4.890349128221754,5.220355825078324,5.560681631015528
US-Louisiana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,1.0986122886681098,1.3862943611198906,1.6094379124341003,1.6094379124341003,2.3978952727983707,2.70805020110221,2.833213344056216,3.044522437723423,3.58351893845611,3.8501476017100584,4.189654742026425,4.430816798843313,4.787491742782046,4.927253685157205,5.0238805208462765,5.225746673713202,5.480638923341991
US-Washington,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1780538303479458,3.4011973816621555,3.4657359027997265,3.6375861597263857,3.6375861597263857,3.713572066704308,3.8918202981106265,4.02535169073515,4.02535169073515,4.31748811353631,4.430816798843313,4.553876891600541,4.584967478670572,4.700480365792417,4.762173934797756,4.897839799950911,5.017279836814924,5.062595033026967,5.241747015059643,5.293304824724492,5.327876168789581,5.420534999272286
Turkey-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.6931471805599453,1.3862943611198906,1.6094379124341003,2.302585092994046,3.4339872044851463,3.6375861597263857,3.8066624897703196,4.0943445622221,4.330733340286331,4.532599493153256,4.6913478822291435,4.882801922586371,5.1298987149230735,5.3706380281276624
Brazil-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,1.3862943611198906,1.9459101490553132,2.4849066497880004,2.772588722239781,3.258096538021482,3.5553480614894135,3.8501476017100584,4.0943445622221,4.356708826689592,4.532599493153256,4.718498871295094,4.919980925828125,5.075173815233827,5.308267697401205
